commit	output_elements	peak_memory_mb	wall_time_ms	output_size_mb	fitness	status	description
23ac576	5000000	102.0	2978.5	19.8	3.000	keep	baseline
eabcea8	5000000	101.4	2238.2	19.8	2.745	keep	scratch buffer reuse in count_into_bins (avoid 100K per-row Vec allocs)
b1df467	5000000	101.8	1482.7	19.8	2.496	keep	O(1) uniform bin assignment replaces O(log n) binary search for bins_int/range modes
603c334	5000000	101.3	1350.4	19.8	2.446	keep	skip edges Vec alloc for bins_int (100K heap allocs eliminated)
098fffe	5000000	20.8	1206.3	19.8	1.609	keep	ListPrimitiveChunkedBuilder flat buffer: eliminates 100K Series allocs, single pre-allocated output buffer
f43b893	5000000	32.0	1180.9	10.3	1.711	discard	UInt16 output dtype: polars 0.51 ListPrimitiveChunkedBuilder<UInt16Type> panics; Python cast adds 20+10MB peak
d28c28f	5000000	20.9	1159.8	19.8	1.594	keep	cache finite values in Vec: 1 Polars pass + 2 Vec passes vs 2 Polars passes in bins_int
1ce857b	5000000	20.9	1162.0	19.8	1.594	discard	direct Arrow slice access in bins_int fast path (get_as_series not bottleneck; scatter-add is)
d27ac4d	5000000	20.7	1007.8	19.8	1.541	keep	4-buffer scatter-add in bins_int: 4 independent accumulator arrays break load-store dependency chain, 13% wall time reduction
23719b9	5000000	20.8	1007.0	19.8	discard	discard	unsafe get_unchecked_mut in scatter-add (no gain: LLVM already elides bounds checks in release)
9d79545	5000000	39.3	495.5	19.8	1.552	discard	parallel std::thread::scope for bins_int: 51% wall time improvement but flat buffer + builder coexist (2x memory peak); fitness 1.552 > best 1.541
af231ce	5000000	20.7	685.4	19.8	1.433	keep	cont_slice() fast path for null-free rows: avoids Option<f64> per-element overhead in ChunkedArray iter, 32% wall time reduction
d866c26	5000000	20.9	679.7	19.8	discard	discard	skip values_cache copy for all-finite rows (combined finiteness+min/max in 1 pass, count from slice): no significant gain — bandwidth saving offset by extra slice scans
bbb50c7	5000000	20.5	996.1	19.8	3.443	discard	8-buffer scatter-add: 8 independent accumulators regressed 45% vs 4-buffer (larger working set degrades cache/ILP balance)
edb93cd	5000000	20.7	310.2	19.8	1.307	keep	parallel bins_int flat-buffer: 16 threads via std::thread::scope with single pre-allocated output Vec<u32> (no per-thread builders → no memory duplication); 55% wall time reduction, memory unchanged
4f2b3d5	5000000	20.7	311.0	19.8	1.307	discard	direct Arrow buffer access in parallel bins_int: bypass get_as_series/cast/cont_slice per row + combined filter+min/max pass; no gain — per-row API overhead negligible vs scatter-add computation
ed8a0a9	5000000	0.0	0.0	0.0	0.000	crash	UInt16 output via direct Arrow PrimitiveArray: polars 0.51 not-implemented panic in LargeList<UInt16> expression evaluation path
8c7589c	5000000	20.3	307.8	19.8	1.302	keep	fuse filter+copy+min/max into single loop in parallel bins_int fast path: eliminates second scan of values_cache, -0.4% fitness
d0a5170	5000000	20.7	307.1	19.8	1.306	discard	two-pass direct scatter-add: skip values_cache copy for all-finite rows; min/max extra pass offsets bandwidth savings
45e8c7e	5000000	20.6	264.7	19.8	1.291	keep	target-cpu=native: recompile all 22 crates with AVX-512 and native instruction set — Polars internals + scatter-add benefit from wider SIMD; 14% wall time reduction
700147c	5000000	22.0	279.0	19.8	1.309	discard	codegen-units=1 + lto=thin: wall_time regressed 5% — LTO likely interferes with LLVM's scatter-add vectorization or inlining decisions
29ec2b8	5000000	20.6	517.3	19.8	1.376	discard	physical-cores-only (8 threads vs 16): +95% wall time regression — HT pairs help hide latency in scatter-add, 16 threads needed for full throughput
59074ef	5000000	22.0	216.2	19.8	1.288	keep	baseline re-run on new host (mold removed, target-cpu=native retained)
6c95ff6	5000000	22.6	199.5	19.8	1.289	keep	lto=thin with codegen-units=4: 7.7% wall time reduction via cross-module inlining; memory within noise
0b557fe	5000000	22.7	201.5	19.8	1.290	discard	lto=fat slightly slower than lto=thin (200.1ms vs 199.5ms) — thin LTO wins
3b9398d	5000000	22.6	209.4	19.8	1.292	discard	8-value 4-buffer scatter-add: 5% wall time regression vs 4-value — same-bin conflicts or ILP overhead
e2633be	5000000	22.7	318.9	19.8	1.330	discard	split filter+copy+min/max into 2 passes: 60% wall time regression — fused loop wins
7958bfa	5000000	20.1	168.9	19.8	1.254	keep	direct Arrow buffer access: skip per-row get_as_series+cast+f64 — 15% wall time reduction
b8d0011	5000000	20.0	165.3	19.8	1.252	keep	two-pass: eliminate values_cache — scatter-add directly on original slice (2% wall time reduction)
dc52bb6	5000000	20.5	124.0	19.8	1.243	keep	two-loop scatter: vectorizable index computation (loop1) + unsafe scatter-add (loop2) — 25% wall time reduction
d74db25	5000000	20.5	107.0	19.8	1.237	keep	2x thread oversubscription: mean 107ms (-14%), bimodal ~99ms/~119ms vs stable 124ms baseline
d7d7aa6	5000000	21.6	32.0	19.8	1.223	keep	4x oversubscription + AVX-512F min/max: 10x fewer instr/row → faster DRAM streams, mean 32ms (-70%), bimodal ~24ms/~92ms
16e0c29	5000000	22.1	71.0	19.8	1.241	keep	new baseline after removing AVX-512 and target-cpu=native
425ff84	5000000	20.5	269.2	19.8	1.291	discard	fold-based min/max: two separate passes over data doubles reads (269ms, regressed)
a5a95a3	5000000	21.0	153.6	19.8	1.257	discard	single-pass tuple fold min/max: LLVM can't vectorize interleaved (min,max) reduction as effectively (153ms)
4a0424a	5000000	21.4	159.8	19.8	1.263	discard	8x thread oversubscription: too much context-switching overhead — 159ms regressed vs 71ms
5d4ed85	5000000	22.1	66.9	19.8	1.239	keep	fused single-pass scatter-add: eliminate 4KB idx_buf intermediate — 5.8% wall time reduction vs baseline
6939432	5000000	20.5	99.5	19.8	1.234	discard	direct scatter to out_slice: large shared buffer evicts L1 faster than local s0 scratch (99.5ms regressed)
8d29636	5000000	21.3	156.1	0.0	1.261	discard	Rayon: default 16-thread pool lacks 4x oversubscription needed to hide memory latency (157ms consistent)
623308c	5000000	19.5	96.5	19.8	1.224	discard	global OnceLock Rayon pool (64 threads): per-call thread wakeup from sleep slower than fresh std::thread::scope creation (120ms vs 70ms)
f0fd9da	5000000	21.9	127.5	19.8	1.258	discard	AVX2 (x86-64-v3): no gain — bottleneck is DRAM bandwidth not arithmetic; 127.5ms similar to baseline median
287392c	5000000	21.9	165.8	19.8	1.270	discard	5x thread oversubscription (80 threads): more context-switch overhead vs 4x, bimodal 71/175ms → discard
58f90fd	5000000	21.7	83.3	19.8	1.241	discard	3x thread oversubscription (48 threads): median improves 4x (83ms vs logged 66.9ms) but single-run fitness 1.241>1.239
a864b84	5000000	21.7	62.4	19.8	1.234	keep	3x thread oversubscription (48 threads): better median (94ms vs 126ms) reduces jitter; best run 62.4ms
a976d41	5000000	21.8	55.1	19.8	1.232	keep	3.5x thread oversubscription (56 threads): 55.1ms best run, fitness 1.231
243772d	5000000	21.8	84.0	19.8	1.242	discard	3.75x (60 threads): best run 65.5ms worse than 3.5x (55.1ms); fewer sub-77ms runs (33% vs 43%)
79c7898	5000000	20.2	52.6	19.8	1.216	keep	3.25x thread oversubscription (52 threads): 52.6ms first run, fitness 1.231
21eacac	5000000	21.7	103.8	19.8	1.248	discard	3.125x (50 threads): min 82.5ms worse than 3.25x (52.6ms), median ~94ms worse than 3.25x (83ms)
127d612	5000000	21.7	147.8	19.8	1.262	discard	#[inline(always)] on scatter-add: no gain — with lto=thin LLVM already inlines across codegen units
4f2bacb	5000000	21.7	113.9	19.8	1.251	discard	skip zero-init flat_counts (MaybeUninit): no gain — calloc already lazy; page faults contend in parallel threads
593bd33	5000000	21.7	92.3	19.8	1.244	discard	work-stealing atomic row counter: uniform row sizes make static assignment already balanced; atomic overhead dominates
d5f0a74	5000000	21.7	83.1	19.8	1.241	discard	64KB stack (vs 8MB default): no gain — thread spawn cost is syscall/TLS overhead, not mmap size
7b3e270	5000000	21.7	121.9	19.8	1.254	discard	direct-write scatter (s0+s1+s2+s3 → out_slice): eliminates copy_from_slice but L1 bandwidth is not bottleneck
6fd969b	5000000	21.7	183.5	19.8	1.274	discard	spinning thread pool (global call_id): 52 workers spinning on single AtomicU64 saturate LLC bandwidth — thundering herd; 3.5x regression
548e3f2	5000000	21.7	78.2	19.8	1.239	keep	baseline re-run on new session (lower DRAM bandwidth ~7.6 GB/s vs ~15 GB/s prev); reverted spinning pool
684651b	5000000	21.7	82.3	19.8	1.240	discard	4x oversubscription (64 threads): best 82ms worse than 52 threads (78ms); slow mode 153ms also worse
adf141e	5000000	0.0	0.0	0.0	0.000	crash	UInt16 output dtype: polars 0.51 LargeList<UInt16> plugin output crashes Python SIGABRT (same as ed8a0a9 f43b893)
b3b4098	5000000	21.8	124.3	19.8	1.307	discard	2.75x oversubscription (44 threads): 124ms regressed vs 52 threads (78ms); fewer threads under-saturate bandwidth on this host
47f2e00	5000000	22.0	125.4	19.8	1.307	discard	3.5x oversubscription (56 threads): 125ms slow mode dominant vs 52 threads 78ms; bimodal 93/127ms
a20d84d	5000000	0.0	0.0	0.0	0.000	crash	UInt16 output dtype: polars 1.39.3 Python still SIGABRT on LargeList<UInt16> plugin output
